n,K_classical_single,K_classical_pair,ratio_classical,K_complex_single,K_complex_pair,ratio_complex,K_real_single,K_real_pair,ratio_real_num,ratio_real_den
1,1,1,1,1,1,1,1,1,1,1
2,2,4,1,4,16,1,3,10,10,9
3,3,9,1,9,81,1,6,45,5,4
4,4,16,1,16,256,1,10,136,34,25
5,5,25,1,25,625,1,15,325,13,9
6,6,36,1,36,1296,1,21,666,74,49
7,7,49,1,49,2401,1,28,1225,25,16
8,8,64,1,64,4096,1,36,2080,130,81
9,9,81,1,81,6561,1,45,3321,41,25
10,10,100,1,100,10000,1,55,5050,202,121
11,11,121,1,121,14641,1,66,7381,7381,4356
12,12,144,1,144,20736,1,78,10440,290,169
