n,nontrivial,product_additivity_available,cptp_dpi_available,unitary_equality_available,replacement_strict_contraction_possible,selects_n3,status
1,false,true,true,true,false,false,IMPORTED_KNOWN_TRIVIAL
2,true,true,true,true,true,false,COUNTEREXAMPLE
3,true,true,true,true,true,false,NO_SINGULARITY
4,true,true,true,true,true,false,COUNTEREXAMPLE
5,true,true,true,true,true,false,COUNTEREXAMPLE
6,true,true,true,true,true,false,COUNTEREXAMPLE
7,true,true,true,true,true,false,COUNTEREXAMPLE
8,true,true,true,true,true,false,COUNTEREXAMPLE
9,true,true,true,true,true,false,COUNTEREXAMPLE
10,true,true,true,true,true,false,COUNTEREXAMPLE
11,true,true,true,true,true,false,COUNTEREXAMPLE
12,true,true,true,true,true,false,COUNTEREXAMPLE
