n,embedded_family_qfi,selector_n3,status,reason
1,0,false,PROVED,trivial one-dimensional physical state space
2,4,false,PROVED,explicit two-level pure family
3,4,false,PROVED,same embedded family
4,4,false,PROVED,same embedded family
5,4,false,PROVED,same embedded family
6,4,false,PROVED,same embedded family
7,4,false,PROVED,same embedded family
8,4,false,PROVED,same embedded family
9,4,false,PROVED,same embedded family
10,4,false,PROVED,same embedded family
11,4,false,PROVED,same embedded family
12,4,false,PROVED,same embedded family
