n,exceptional_JnO_general_family,PDT_native_selector,composition_viable_general_nonclassical,status
1,false,false,false,NO_SELECTOR
2,false,false,false,NO_SELECTOR
3,true,false,false,IMPORTED_EXCEPTION_COMPOSITION_OBSTRUCTED
4,false,false,false,NO_SELECTOR
5,false,false,false,NO_SELECTOR
6,false,false,false,NO_SELECTOR
7,false,false,false,NO_SELECTOR
8,false,false,false,NO_SELECTOR
9,false,false,false,NO_SELECTOR
10,false,false,false,NO_SELECTOR
11,false,false,false,NO_SELECTOR
12,false,false,false,NO_SELECTOR
