n,classical_initial_TV,classical_after_replacement_TV,quantum_orthogonal_initial_trace_distance,quantum_after_replacement_trace_distance,status
1,NA,NA,NA,NA,DEGENERATE
2,1,0,1,0,FALSIFIES_UNIVERSAL_POSITIVE_REVELATION
3,1,0,1,0,FALSIFIES_UNIVERSAL_POSITIVE_REVELATION
4,1,0,1,0,FALSIFIES_UNIVERSAL_POSITIVE_REVELATION
5,1,0,1,0,FALSIFIES_UNIVERSAL_POSITIVE_REVELATION
6,1,0,1,0,FALSIFIES_UNIVERSAL_POSITIVE_REVELATION
7,1,0,1,0,FALSIFIES_UNIVERSAL_POSITIVE_REVELATION
8,1,0,1,0,FALSIFIES_UNIVERSAL_POSITIVE_REVELATION
9,1,0,1,0,FALSIFIES_UNIVERSAL_POSITIVE_REVELATION
10,1,0,1,0,FALSIFIES_UNIVERSAL_POSITIVE_REVELATION
11,1,0,1,0,FALSIFIES_UNIVERSAL_POSITIVE_REVELATION
12,1,0,1,0,FALSIFIES_UNIVERSAL_POSITIVE_REVELATION
