n,local_tv,pair_A_two_copy_tv,pair_B_two_copy_tv,equal_local,unequal_composite,status
1,NA,NA,NA,NA,NA,DEGENERATE
2,1/4,7/16,5/16,TRUE,TRUE,FALSIFIES_SCALAR_TENSOR_LAW
3,1/4,7/16,5/16,TRUE,TRUE,FALSIFIES_SCALAR_TENSOR_LAW
4,1/4,7/16,5/16,TRUE,TRUE,FALSIFIES_SCALAR_TENSOR_LAW
5,1/4,7/16,5/16,TRUE,TRUE,FALSIFIES_SCALAR_TENSOR_LAW
6,1/4,7/16,5/16,TRUE,TRUE,FALSIFIES_SCALAR_TENSOR_LAW
7,1/4,7/16,5/16,TRUE,TRUE,FALSIFIES_SCALAR_TENSOR_LAW
8,1/4,7/16,5/16,TRUE,TRUE,FALSIFIES_SCALAR_TENSOR_LAW
9,1/4,7/16,5/16,TRUE,TRUE,FALSIFIES_SCALAR_TENSOR_LAW
10,1/4,7/16,5/16,TRUE,TRUE,FALSIFIES_SCALAR_TENSOR_LAW
11,1/4,7/16,5/16,TRUE,TRUE,FALSIFIES_SCALAR_TENSOR_LAW
12,1/4,7/16,5/16,TRUE,TRUE,FALSIFIES_SCALAR_TENSOR_LAW
