n,K_complex_local,K_complex_composite_equal_n,K_complex_product,complex_defect,K_real_local,K_real_composite_equal_n,K_real_product,real_defect
1,1,1,1,0,1,1,1,0
2,4,16,16,0,3,10,9,1
3,9,81,81,0,6,45,36,9
4,16,256,256,0,10,136,100,36
5,25,625,625,0,15,325,225,100
6,36,1296,1296,0,21,666,441,225
7,49,2401,2401,0,28,1225,784,441
8,64,4096,4096,0,36,2080,1296,784
9,81,6561,6561,0,45,3321,2025,1296
10,100,10000,10000,0,55,5050,3025,2025
11,121,14641,14641,0,66,7381,4356,3025
12,144,20736,20736,0,78,10440,6084,4356
