n,epsilon,lower_capacity_bits,upper_capacity_bits,slope_lower,slope_upper,status
2,0.1,6.643856,8.784635,2.000000,2.644439,KNOWN_MATH_OPERATIONALIZATION
2,0.01,13.287712,15.302103,2.000000,2.303196,KNOWN_MATH_OPERATIONALIZATION
2,1e-08,53.150850,55.150850,2.000000,2.075257,KNOWN_MATH_OPERATIONALIZATION
3,0.1,9.965784,13.176952,3.000000,3.966658,KNOWN_MATH_OPERATIONALIZATION
3,0.01,19.931569,22.953155,3.000000,3.454794,KNOWN_MATH_OPERATIONALIZATION
3,1e-08,79.726274,82.726274,3.000000,3.112886,KNOWN_MATH_OPERATIONALIZATION
4,0.1,13.287712,17.569270,4.000000,5.288877,KNOWN_MATH_OPERATIONALIZATION
4,0.01,26.575425,30.604207,4.000000,4.606392,KNOWN_MATH_OPERATIONALIZATION
4,1e-08,106.301699,110.301699,4.000000,4.150515,KNOWN_MATH_OPERATIONALIZATION
5,0.1,16.609640,21.961587,5.000000,6.611096,KNOWN_MATH_OPERATIONALIZATION
5,0.01,33.219281,38.255258,5.000000,5.757990,KNOWN_MATH_OPERATIONALIZATION
5,1e-08,132.877124,137.877124,5.000000,5.188144,KNOWN_MATH_OPERATIONALIZATION
