n,distinction_dim,generator_dim,mismatch,dimension_match,status
1,1,0,-1,false,REJECTED_BY_DIMENSION
2,2,1,-1,false,REJECTED_BY_DIMENSION
3,3,3,0,true,SURVIVES_DIMENSION_FILTER
4,4,6,2,false,REJECTED_BY_DIMENSION
5,5,10,5,false,REJECTED_BY_DIMENSION
6,6,15,9,false,REJECTED_BY_DIMENSION
7,7,21,14,false,REJECTED_BY_DIMENSION
8,8,28,20,false,REJECTED_BY_DIMENSION
9,9,36,27,false,REJECTED_BY_DIMENSION
10,10,45,35,false,REJECTED_BY_DIMENSION
11,11,55,44,false,REJECTED_BY_DIMENSION
12,12,66,54,false,REJECTED_BY_DIMENSION
