dimension,trials,max_born_affine_residual,epsilon,max_observed_mixed_deviation,robust_bound_pass
1,100,0,0.01,0.0099360573813985723,true
2,100,6.6613381477509392e-16,0.01,0.0099782351718231879,true
3,100,5.5511151231257827e-16,0.01,0.0099104388321269218,true
4,100,6.6613381477509392e-16,0.01,0.0086063516683931463,true
5,100,4.4408920985006262e-16,0.01,0.0082046799686963257,true
6,100,7.2164496600635175e-16,0.01,0.0089199705881455298,true
7,100,5.5511151231257827e-16,0.01,0.0070107138976908999,true
8,100,4.9960036108132044e-16,0.01,0.0069000772318047214,true
9,100,5.5511151231257827e-16,0.01,0.007473318398657519,true
10,100,7.7715611723760958e-16,0.01,0.0075903254997608536,true
11,100,4.9960036108132044e-16,0.01,0.0059684119315406943,true
12,100,3.8857805861880479e-16,0.01,0.0060316310455344148,true
