dimension,trials,max_D2_plus_chi2,max_D2_plus_f2,max_chi_minus_f
1,200,1.0000000000000009,1.0000000000000009,2.220446049250313e-16
2,200,0.9984470433680133,1.0000000000000027,0.0
3,200,0.9287083223503740,0.9970666665255227,0.0
4,200,0.6643728843326077,0.9938614424547925,0.0
5,200,0.6179671750378711,0.9833159139221834,0.0
6,200,0.6061868596967992,0.9705412690291894,0.0
7,200,0.6119313046067671,0.9612000684381294,0.0
8,200,0.5461011003957221,0.9551103382535207,0.0
9,200,0.4603113937864391,0.9360911458054775,0.0
10,200,0.47527592943655955,0.9351161120005704,0.0
11,200,0.4955055726407544,0.9395897822948087,0.0
12,200,0.42634679299841854,0.9391012866681726,0.0
