dimension,trials,min_det,max_det,violations_below_-1e-12
1,300,-1.2361255150219004e-31,7.8242242570888915e-32,0
2,300,-4.0062165075870343e-16,4.4697313267394479e-16,0
3,300,5.5020132519554844e-05,0.86046703875748221,0
4,300,0.015517225532279702,0.8811456595961713,0
5,300,0.10520125920911388,0.95241465788637725,0
6,300,0.11276089607913038,0.94824794995330841,0
7,300,0.11744232199324615,0.95950938818550069,0
8,300,0.12640211505869556,0.97489397170770653,0
9,300,0.2465594525959878,0.9770574752118153,0
10,300,0.298120028357862,0.96582621816879222,0
11,300,0.41211475620306887,0.95788536931750201,0
12,300,0.44388876089777529,0.98801680855537422,0
