d,k,welch_avg_floor,min_avg_margin_500,min_max_margin_500,mean_avg_margin
1,4,1,-5.55111512313e-16,-2.22044604925e-16,-1.26565424807e-17
2,5,0.375,0.000871231660011,0.329993020229,0.124117823965
3,6,0.2,0.0180818277578,0.234150599033,0.132427080145
4,7,0.125,0.0390924365648,0.279275635723,0.127298628316
5,8,0.0857142857143,0.0407812116386,0.230514403917,0.114256548953
6,9,0.0625,0.0462710225319,0.258001914494,0.104076615375
7,10,0.047619047619,0.0496806730914,0.233976712542,0.0972675577285
8,11,0.0375,0.0551622570369,0.233018210791,0.0882607503775
9,12,0.030303030303,0.0501214595095,0.226696553011,0.0808420005016
10,13,0.025,0.053801165898,0.209527344437,0.0749715314507
11,14,0.020979020979,0.0468725170723,0.205182907034,0.0699613186096
12,15,0.0178571428571,0.0474818506134,0.210151750912,0.0653890695222
