d,k,H_X_bits,log2_d_bits,residual_floor_bits,max_random_chi_bits,min_log2d_minus_chi_bits,trials,seed
1,4,2.000000000000,0.000000000000,2.000000000000,0.000000000000,-0.000000000000,300,1909
2,5,2.321928094887,1.000000000000,1.321928094887,0.996967267879,0.003032732121,300,1909
3,6,2.584962500721,1.584962500721,1.000000000000,1.561598529822,0.023363970899,300,1909
4,7,2.807354922058,2.000000000000,0.807354922058,1.899269605077,0.100730394923,300,1909
5,8,3.000000000000,2.321928094887,0.678071905113,2.154995460039,0.166932634848,300,1909
6,9,3.169925001442,2.584962500721,0.584962500721,2.360303605149,0.224658895572,300,1909
7,10,3.321928094887,2.807354922058,0.514573172830,2.540454298240,0.266900623818,300,1909
8,11,3.459431618637,3.000000000000,0.459431618637,2.691964062851,0.308035937149,300,1909
9,12,3.584962500721,3.169925001442,0.415037499279,2.882328543466,0.287596457976,300,1909
10,13,3.700439718141,3.321928094887,0.378511623254,2.941131606641,0.380796488247,300,1909
11,14,3.807354922058,3.459431618637,0.347923303421,3.085445786890,0.373985831747,300,1909
12,15,3.906890595609,3.584962500721,0.321928094887,3.198367425649,0.386595075072,300,1909
