d,k,holevo_dimension_ceiling_bits,full_uniform_label_entropy_bits,landauer_heat_for_ceiling_at_300K_J,landauer_heat_for_full_revelation_at_300K_J,full_revelation_dimension_forbidden
1,4,0,2,0,5.74195777015745e-21,true
2,5,1,2.32192809488736,2.87097888507872e-21,6.66620653309268e-21,true
3,6,1.58496250072116,2.58496250072116,4.55039387321201e-21,7.42137275829073e-21,true
4,7,2,2.8073549220576,5.74195777015745e-21,8.05985670414921e-21,true
5,8,2.32192809488736,3,6.66620653309268e-21,8.61293665523617e-21,true
6,9,2.58496250072116,3.16992500144231,7.42137275829073e-21,9.10078774642402e-21,true
7,10,2.8073549220576,3.32192809488736,8.05985670414921e-21,9.53718541817141e-21,true
8,11,3,3.4594316186373,8.61293665523617e-21,9.93195513148139e-21,true
9,12,3.16992500144231,3.58496250072116,9.10078774642402e-21,1.02923516433695e-20,true
10,13,3.32192809488736,3.70043971814109,9.53718541817141e-21,1.06238842962897e-20,true
11,14,3.4594316186373,3.8073549220576,9.93195513148139e-21,1.09308355892279e-20,true
12,15,3.58496250072116,3.90689059560852,1.02923516433695e-20,1.12166004063047e-20,true
