dimension,labels,success_upper_bound,error_lower_bound,largest_random_success,max_violation,trials,seed
1,4,0.25,0.75,0.2500000000000001,1.110223024625157e-16,300,260909
2,5,0.4,0.6,0.2906303092225346,-0.1093696907774654,300,260909
3,6,0.5,0.5,0.219737552555981,-0.280262447444019,300,260909
4,7,0.5714285714285714,0.4285714285714286,0.1790031824238512,-0.3924253890047202,300,260909
5,8,0.625,0.375,0.1473449560378313,-0.4776550439621687,300,260909
6,9,0.6666666666666666,0.3333333333333334,0.1331572711148587,-0.533509395551808,300,260909
7,10,0.7,0.3,0.1148512219384357,-0.5851487780615643,300,260909
8,11,0.7272727272727273,0.2727272727272727,0.1001122473553497,-0.6271604799173776,300,260909
9,12,0.75,0.25,0.09324318915888841,-0.6567568108411116,300,260909
10,13,0.7692307692307693,0.2307692307692307,0.0839620581753991,-0.6852687110553701,300,260909
11,14,0.7857142857142857,0.2142857142857143,0.07695896239436173,-0.708755323319924,300,260909
12,15,0.8,0.2,0.07041628645739975,-0.7295837135426003,300,260909
