dimension,labels,trials,largest_random_success,maximum_violation,uniform_single_copy_bound,uniform_two_copy_bound
1,6,300,0.36515744052574356,-0.03568380169215982,0.16666666666666666,0.16666666666666666
2,7,300,0.24089237609000003,-0.23976360089290089,0.2857142857142857,0.5714285714285714
3,8,300,0.21187049684557285,-0.3752296443784486,0.375,1.0
4,9,300,0.16450219331774596,-0.5652894378378508,0.4444444444444444,1.0
5,10,300,0.1338051123248619,-0.6498070434066412,0.5,1.0
6,11,300,0.11274263861828274,-0.756023432344389,0.5454545454545454,1.0
7,12,300,0.09786453592299467,-0.8331259896325481,0.5833333333333334,1.0
8,13,300,0.08838716060183123,-0.8857582183965457,0.6153846153846154,1.0
9,14,300,0.08292054530519562,-0.9170794546948043,0.6428571428571429,1.0
10,15,300,0.07641900490068142,-0.9235809950993186,0.6666666666666666,1.0
11,16,300,0.06992268661976701,-0.930077313380233,0.6875,1.0
12,17,300,0.06400207025282383,-0.9359979297471762,0.7058823529411765,1.0
