d,k,trials,max_joint_excess,max_conditional_accuracy,min_retention
1,6,300,-0.0545836965437066,0.3718231828874531,0.3578793219088312
2,7,300,-0.2361448507875547,0.2801626431825626,0.6878905353998278
3,8,300,-0.4206723480030174,0.2027559898047092,0.7711920610044148
4,9,300,-0.5320046038691219,0.1627842142186224,0.7876458012543552
5,10,300,-0.7627797450113548,0.1449525545640956,0.8529388055971744
6,11,300,-0.8404543506183742,0.1156657830990305,0.8695259348896637
7,12,300,-0.8360693741497748,0.1057420703996233,0.8920545581281894
8,13,300,-0.8917726151987145,0.0929099876650373,0.9021039535886569
9,14,300,-0.9216538580904708,0.0848186782961282,0.9152299620947983
10,15,300,-0.9281151092469898,0.0770306677409419,0.9112584023545524
11,16,300,-0.9345551594507304,0.0690998957857015,0.9249781149203511
12,17,300,-0.9400812655651526,0.0635302188466072,0.9338775822907905
