system_dim,env_dim,trials,max_unitary_balance_abs,max_unitary_gain_minus_initial_reserve,max_cptp_balance_abs,max_cptp_gain_minus_initial_reserve
1,2,100,1.110223e-16,-1.748204e-01,1.110223e-16,-1.748204e-01
2,2,100,5.551115e-17,-4.148829e-02,5.551115e-17,-5.728682e-02
3,2,100,5.551115e-17,-1.565212e-01,5.551115e-17,-2.083096e-01
4,2,100,2.775558e-17,-1.287988e-01,5.551115e-17,-2.228259e-01
5,2,100,2.775558e-17,-1.725103e-01,5.551115e-17,-2.490652e-01
6,2,100,2.775558e-17,-2.022408e-01,5.551115e-17,-2.306118e-01
7,2,100,2.775558e-17,-1.953173e-01,5.551115e-17,-2.330274e-01
8,2,100,2.775558e-17,-2.200918e-01,1.110223e-16,-2.440521e-01
9,2,100,2.775558e-17,-2.128871e-01,5.551115e-17,-2.605506e-01
10,2,100,0.000000e+00,-2.125744e-01,5.551115e-17,-2.606932e-01
11,2,100,2.775558e-17,-2.211940e-01,5.551115e-17,-2.706800e-01
12,2,100,0.000000e+00,-2.284126e-01,5.551115e-17,-2.676549e-01
