d_s,d_e,labels,trials,max_abs_balance_residual,max_delta_minus_initial_reserve,max_negative_global_loss,max_abs_reversible_global_loss
1,3,3,200,0.0,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16
2,2,4,200,0.0,2.220446049250313e-16,3.3306690738754696e-16,1.1102230246251565e-16
3,2,5,200,0.0,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16
4,2,6,200,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16
5,2,7,200,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16
6,2,7,200,0.0,0.0,0.0,2.220446049250313e-16
7,2,7,200,0.0,0.0,0.0,1.6653345369377348e-16
8,2,7,200,0.0,0.0,0.0,2.220446049250313e-16
9,2,7,200,0.0,0.0,0.0,2.220446049250313e-16
10,2,7,200,0.0,0.0,0.0,2.220446049250313e-16
11,2,7,200,0.0,0.0,0.0,2.220446049250313e-16
12,2,7,200,0.0,0.0,0.0,1.1102230246251565e-16
16,2,7,200,0.0,0.0,0.0,2.220446049250313e-16
24,2,7,200,0.0,0.0,0.0,1.1102230246251565e-16
32,2,7,200,0.0,0.0,0.0,2.220446049250313e-16
48,2,7,200,0.0,0.0,0.0,2.220446049250313e-16
