n,resource_step,quotient_dimension,nullity,revealed_dimension
1,0,0,1,0
1,1,1,0,1
2,0,0,2,0
2,1,1,1,1
2,2,2,0,1
3,0,0,3,0
3,1,1,2,1
3,2,2,1,1
3,3,3,0,1
4,0,0,4,0
4,1,1,3,1
4,2,2,2,1
4,3,3,1,1
4,4,4,0,1
5,0,0,5,0
5,1,1,4,1
5,2,2,3,1
5,3,3,2,1
5,4,4,1,1
5,5,5,0,1
6,0,0,6,0
6,1,1,5,1
6,2,2,4,1
6,3,3,3,1
6,4,4,2,1
6,5,5,1,1
6,6,6,0,1
7,0,0,7,0
7,1,1,6,1
7,2,2,5,1
7,3,3,4,1
7,4,4,3,1
7,5,5,2,1
7,6,6,1,1
7,7,7,0,1
8,0,0,8,0
8,1,1,7,1
8,2,2,6,1
8,3,3,5,1
8,4,4,4,1
8,5,5,3,1
8,6,6,2,1
8,7,7,1,1
8,8,8,0,1
9,0,0,9,0
9,1,1,8,1
9,2,2,7,1
9,3,3,6,1
9,4,4,5,1
9,5,5,4,1
9,6,6,3,1
9,7,7,2,1
9,8,8,1,1
9,9,9,0,1
10,0,0,10,0
10,1,1,9,1
10,2,2,8,1
10,3,3,7,1
10,4,4,6,1
10,5,5,5,1
10,6,6,4,1
10,7,7,3,1
10,8,8,2,1
10,9,9,1,1
10,10,10,0,1
11,0,0,11,0
11,1,1,10,1
11,2,2,9,1
11,3,3,8,1
11,4,4,7,1
11,5,5,6,1
11,6,6,5,1
11,7,7,4,1
11,8,8,3,1
11,9,9,2,1
11,10,10,1,1
11,11,11,0,1
12,0,0,12,0
12,1,1,11,1
12,2,2,10,1
12,3,3,9,1
12,4,4,8,1
12,5,5,7,1
12,6,6,6,1
12,7,7,5,1
12,8,8,4,1
12,9,9,3,1
12,10,10,2,1
12,11,11,1,1
12,12,12,0,1
