n,nontrivial_normed_cross_product,passes_pairwise_NDC_double_cross,status
1,false,false,EXCLUDED_BY_KNOWN_CLASSIFICATION
2,false,false,EXCLUDED_BY_KNOWN_CLASSIFICATION
3,true,true,SURVIVES_PAIRWISE_FILTER
4,false,false,EXCLUDED_BY_KNOWN_CLASSIFICATION
5,false,false,EXCLUDED_BY_KNOWN_CLASSIFICATION
6,false,false,EXCLUDED_BY_KNOWN_CLASSIFICATION
7,true,true,SURVIVES_PAIRWISE_FILTER
8,false,false,EXCLUDED_BY_KNOWN_CLASSIFICATION
9,false,false,EXCLUDED_BY_KNOWN_CLASSIFICATION
10,false,false,EXCLUDED_BY_KNOWN_CLASSIFICATION
11,false,false,EXCLUDED_BY_KNOWN_CLASSIFICATION
12,false,false,EXCLUDED_BY_KNOWN_CLASSIFICATION
