a,k,unit_marginal_derivative,imr_target,imr_holds
1,0,1,1,true
1,1,1,1,true
1,2,1,1,true
1,3,1,1,true
1,4,1,1,true
1,5,1,1,true
2,0,2,2,true
2,1,3,2,false
2,2,4,2,false
2,3,5,2,false
2,4,6,2,false
2,5,7,2,false
3,0,3,3,true
3,1,5,3,false
3,2,7,3,false
3,3,9,3,false
3,4,11,3,false
3,5,13,3,false
4,0,4,4,true
4,1,7,4,false
4,2,10,4,false
4,3,13,4,false
4,4,16,4,false
4,5,19,4,false
5,0,5,5,true
5,1,9,5,false
5,2,13,5,false
5,3,17,5,false
5,4,21,5,false
5,5,25,5,false
6,0,6,6,true
6,1,11,6,false
6,2,16,6,false
6,3,21,6,false
6,4,26,6,false
6,5,31,6,false
7,0,7,7,true
7,1,13,7,false
7,2,19,7,false
7,3,25,7,false
7,4,31,7,false
7,5,37,7,false
8,0,8,8,true
8,1,15,8,false
8,2,22,8,false
8,3,29,8,false
8,4,36,8,false
8,5,43,8,false
9,0,9,9,true
9,1,17,9,false
9,2,25,9,false
9,3,33,9,false
9,4,41,9,false
9,5,49,9,false
10,0,10,10,true
10,1,19,10,false
10,2,28,10,false
10,3,37,10,false
10,4,46,10,false
10,5,55,10,false
11,0,11,11,true
11,1,21,11,false
11,2,31,11,false
11,3,41,11,false
11,4,51,11,false
11,5,61,11,false
12,0,12,12,true
12,1,23,12,false
12,2,34,12,false
12,3,45,12,false
12,4,56,12,false
12,5,67,12,false
