n_fiducial_binary_settings,local_vector_dim,locally_tomographic_composite_dim,normalization_exact,nonsignalling_exact,minimal_local_CHSH_bound,maximal_embedded_PR_CHSH,minimal_maximal_separated
1,2,4,True,True,NA,NA,False
2,3,9,True,True,2,4,True
3,4,16,True,True,2,4,True
4,5,25,True,True,2,4,True
5,6,36,True,True,2,4,True
6,7,49,True,True,2,4,True
7,8,64,True,True,2,4,True
8,9,81,True,True,2,4,True
9,10,100,True,True,2,4,True
10,11,121,True,True,2,4,True
11,12,144,True,True,2,4,True
12,13,169,True,True,2,4,True
