n,identity_in_c_op,identity_in_c_cap,identity_nuclear_norm,witness_in_c_op,witness_in_c_cap,witness_op_norm,witness_nuclear_norm,chsh_value,chsh_target,product_failures,max_product_nuclear_norm,max_rotation_op_error,max_rotation_nuclear_error,bodies_distinct
2,True,True,2.0,True,True,0.9999999999999999,1.9999999999999998,2.8284271247461894,2.8284271247461903,0,1.0000000000000004,7.771561172376096e-16,6.661338147750939e-16,False
3,True,False,3.0,True,True,0.9999999999999999,1.9999999999999998,2.8284271247461894,2.8284271247461903,0,1.0000000000000004,5.551115123125783e-16,1.3322676295501878e-15,True
4,True,False,4.0,True,True,0.9999999999999999,1.9999999999999998,2.8284271247461894,2.8284271247461903,0,1.0000000000000007,7.771561172376096e-16,1.5543122344752192e-15,True
5,True,False,5.0,True,True,0.9999999999999999,1.9999999999999998,2.8284271247461894,2.8284271247461903,0,1.0000000000000007,5.551115123125783e-16,1.1102230246251565e-15,True
6,True,False,6.0,True,True,0.9999999999999999,1.9999999999999998,2.8284271247461894,2.8284271247461903,0,1.0000000000000007,5.551115123125783e-16,1.1102230246251565e-15,True
7,True,False,7.0,True,True,0.9999999999999999,1.9999999999999998,2.8284271247461894,2.8284271247461903,0,1.0000000000000004,7.771561172376096e-16,1.1102230246251565e-15,True
8,True,False,8.0,True,True,0.9999999999999999,1.9999999999999998,2.8284271247461894,2.8284271247461903,0,1.0000000000000007,5.551115123125783e-16,1.1102230246251565e-15,True
9,True,False,9.0,True,True,0.9999999999999999,1.9999999999999998,2.8284271247461894,2.8284271247461903,0,1.0000000000000007,5.551115123125783e-16,1.1102230246251565e-15,True
10,True,False,10.0,True,True,0.9999999999999999,1.9999999999999998,2.8284271247461894,2.8284271247461903,0,1.0000000000000007,5.551115123125783e-16,1.1102230246251565e-15,True
11,True,False,11.0,True,True,0.9999999999999999,1.9999999999999998,2.8284271247461894,2.8284271247461903,0,1.0000000000000007,5.551115123125783e-16,1.1102230246251565e-15,True
12,True,False,12.0,True,True,0.9999999999999999,1.9999999999999998,2.8284271247461894,2.8284271247461903,0,1.0000000000000007,5.551115123125783e-16,1.1102230246251565e-15,True
