dimension,max_affine_residual,max_nonlinear_residual
1,1.1102230246251565e-16,0.0
2,2.220446049250313e-16,0.029859938134295716
3,1.1102230246251565e-16,0.02381439544853775
4,1.1102230246251565e-16,0.016956454218365336
5,1.1102230246251565e-16,0.01396287723858236
6,1.1102230246251565e-16,0.009784317139676979
7,2.220446049250313e-16,0.010659941732689693
8,2.220446049250313e-16,0.006937402923095248
9,1.6653345369377348e-16,0.005526609692789397
10,2.220446049250313e-16,0.00530291107984171
11,1.1102230246251565e-16,0.005032658608105645
12,2.220446049250313e-16,0.004906638128715668
