n,original_gleason_domain_n_ge_3,uniquely_selects_n3,status
1,false,false,OUTSIDE_STANDARD_DOMAIN
2,false,false,EXCEPTIONAL_DIMENSION
3,true,false,IMPORTED_KNOWN_APPLIES
4,true,false,DECISIVE_COUNTEREXAMPLE_TO_UNIQUE_N3
5,true,false,IMPORTED_KNOWN_APPLIES
6,true,false,IMPORTED_KNOWN_APPLIES
7,true,false,IMPORTED_KNOWN_APPLIES
8,true,false,IMPORTED_KNOWN_APPLIES
9,true,false,IMPORTED_KNOWN_APPLIES
10,true,false,IMPORTED_KNOWN_APPLIES
11,true,false,IMPORTED_KNOWN_APPLIES
12,true,false,IMPORTED_KNOWN_APPLIES
