n,k,overlap_k,p_error,status
1,1,NA,NA,DEGENERATE
2,1,0.5,0.0669872981077807,COUNTEREXAMPLE
3,1,0.5,0.0669872981077807,NO_SINGULARITY
4,1,0.5,0.0669872981077807,NO_SINGULARITY
5,1,0.5,0.0669872981077807,NO_SINGULARITY
6,1,0.5,0.0669872981077807,NO_SINGULARITY
7,1,0.5,0.0669872981077807,NO_SINGULARITY
8,1,0.5,0.0669872981077807,NO_SINGULARITY
9,1,0.5,0.0669872981077807,NO_SINGULARITY
10,1,0.5,0.0669872981077807,NO_SINGULARITY
11,1,0.5,0.0669872981077807,NO_SINGULARITY
12,1,0.5,0.0669872981077807,NO_SINGULARITY
2,2,0.25,0.0158770817240729,COUNTEREXAMPLE
3,2,0.25,0.0158770817240729,NO_SINGULARITY
4,2,0.25,0.0158770817240729,NO_SINGULARITY
5,2,0.25,0.0158770817240729,NO_SINGULARITY
6,2,0.25,0.0158770817240729,NO_SINGULARITY
7,2,0.25,0.0158770817240729,NO_SINGULARITY
8,2,0.25,0.0158770817240729,NO_SINGULARITY
9,2,0.25,0.0158770817240729,NO_SINGULARITY
10,2,0.25,0.0158770817240729,NO_SINGULARITY
11,2,0.25,0.0158770817240729,NO_SINGULARITY
12,2,0.25,0.0158770817240729,NO_SINGULARITY
2,3,0.125,0.00392162917538926,COUNTEREXAMPLE
3,3,0.125,0.00392162917538926,NO_SINGULARITY
4,3,0.125,0.00392162917538926,NO_SINGULARITY
5,3,0.125,0.00392162917538926,NO_SINGULARITY
6,3,0.125,0.00392162917538926,NO_SINGULARITY
7,3,0.125,0.00392162917538926,NO_SINGULARITY
8,3,0.125,0.00392162917538926,NO_SINGULARITY
9,3,0.125,0.00392162917538926,NO_SINGULARITY
10,3,0.125,0.00392162917538926,NO_SINGULARITY
11,3,0.125,0.00392162917538926,NO_SINGULARITY
12,3,0.125,0.00392162917538926,NO_SINGULARITY
