n,epsilon,lower_capacity_bits,upper_capacity_bits,slope_lower,slope_upper
2,0.25,4.0,6.339850002884624,2.0,3.169925001442312
2,0.1,6.643856189774724,8.784634845557521,2.0,2.644438589467839
2,0.03,10.117787378107137,12.16074683292804,2.0,2.4038352217682415
2,0.01,13.287712379549449,15.302103382357858,2.0,2.303196057420489
2,0.003,16.761643567881862,18.765968410183103,2.0,2.239156122630106
3,0.25,6.0,9.509775004326936,3.0,4.754887502163468
3,0.1,9.965784284662087,13.176952268336283,3.0,3.9666578842017586
3,0.03,15.176681067160704,18.24112024939206,3.0,3.605752832652362
3,0.01,19.931568569324174,22.953155073536788,3.0,3.454794086130734
3,0.003,25.142465351822793,28.148952615274652,3.0,3.3587341839451588
4,0.25,8.0,12.679700005769249,4.0,6.339850002884624
4,0.1,13.287712379549449,17.569269691115043,4.0,5.288877178935678
4,0.03,20.235574756214273,24.32149366585608,4.0,4.807670443536483
4,0.01,26.575424759098897,30.604206764715716,4.0,4.606392114840978
4,0.003,33.523287135763724,37.531936820366205,4.0,4.478312245260212
5,0.25,10.0,15.84962500721156,5.0,7.92481250360578
5,0.1,16.609640474436812,21.961587113893803,5.0,6.611096473669597
5,0.03,25.294468445267842,30.401867082320102,5.0,6.009588054420603
5,0.01,33.219280948873624,38.25525845589465,5.0,5.757990143551223
5,0.003,41.904108919704655,46.91492102545776,5.0,5.597890306575265
