theta_deg,D_E,abs_chi,coherence_factor
0,0.0,1.0,1.0
15,0.0,0.9914448613738104,0.9914448613738104
30,0.0,0.9659258262890683,0.9659258262890683
45,0.0,0.9238795325112867,0.9238795325112867
60,0.0,0.8660254037844387,0.8660254037844387
75,0.0,0.7933533402912352,0.7933533402912352
90,0.0,0.7071067811865476,0.7071067811865476
105,0.0,0.6087614290087207,0.6087614290087207
120,0.0,0.5000000000000001,0.5000000000000001
135,0.0,0.38268343236508984,0.38268343236508984
150,0.0,0.25881904510252074,0.25881904510252074
165,0.0,0.1305261922200517,0.1305261922200517
180,0.0,6.123233995736766e-17,6.123233995736766e-17
