case,identity_residual,A_min_eigenvalue
0,0.0,-0.1402957589733638
1,0.0,-0.9251545830823571
2,0.0,-0.5497978648097899
3,0.0,-1.7355341213932527
4,5.551115123125783e-17,-0.002469127585551796
5,0.0,-0.8240319355877328
6,0.0,-1.1399955279610354
7,3.469446951953614e-18,-0.5129366343646548
8,0.0,-1.6943956120338812
9,1.1102230246251565e-16,-0.7867947791115651
10,0.0,-1.0045067309914173
11,0.0,-1.4745077131844049
12,0.0,-0.7788113534100566
13,0.0,-0.2473517780208383
14,4.440892098500626e-16,-0.86590776536121
15,1.1102230246251565e-16,-1.1516544721335877
16,-1.1102230246251565e-16,-0.6199140731149799
17,0.0,-1.1497593843293927
18,0.0,-0.6709648287742276
19,0.0,-0.8832126475295736
